FIPS,INCOME_SUM,Winner_n,Winner,Value,Final,Final_pos
51047,394620,Romney,0,-1,-394620,15532879
51049,130033,Romney,0,-1,-130033,15797466
51051,30967,Romney,0,-1,-30967,15896532
51053,136634,Romney,0,-1,-136634,15790865
51057,26832,Obama,1,1,26832,15954331
51059,11897136,Obama,1,1,11897136,27824635
51061,827986,Romney,0,-1,-827986,15099513
51063,41959,Romney,0,-1,-41959,15885540
51065,163722,Romney,0,-1,-163722,15763777
51067,307962,Romney,0,-1,-307962,15619537
51069,424653,Romney,0,-1,-424653,15502846
51071,36583,Romney,0,-1,-36583,15890916
51073,96603,Romney,0,-1,-96603,15830896
51075,681106,Romney,0,-1,-681106,15246393
51077,36564,Romney,0,-1,-36564,15890935
51079,113811,Romney,0,-1,-113811,15813688
51081,20561,Obama,1,1,20561,15948060
51083,52107,Romney,0,-1,-52107,15875392
51085,720154,Romney,0,-1,-720154,15207345
51087,1799114,Obama,1,1,1799114,17726613
51089,90905,Romney,0,-1,-90905,15836594
51091,3703,Romney,0,-1,-3703,15923796
51093,141676,Romney,0,-1,-141676,15785823
51095,477119,Romney,0,-1,-477119,15450380
51097,34170,Romney,0,-1,-34170,15893329
51099,79636,Romney,0,-1,-79636,15847863
51101,49000,Romney,0,-1,-49000,15878499
51103,52470,Romney,0,-1,-52470,15875029
51105,42029,Romney,0,-1,-42029,15885470
51107,3524269,Obama,1,1,3524269,19451768
51109,237032,Romney,0,-1,-237032,15690467
51111,55991,Romney,0,-1,-55991,15871508
51113,148521,Romney,0,-1,-148521,15778978
51115,25301,Romney,0,-1,-25301,15902198
51117,57255,Romney,0,-1,-57255,15870244
51119,30821,Romney,0,-1,-30821,15896678
51121,246849,Romney,0,-1,-246849,15680650
51125,74516,Obama,1,1,74516,16002015
51127,236378,Romney,0,-1,-236378,15691121
51131,19121,Obama,1,1,19121,15946620
51133,49821,Romney,0,-1,-49821,15877678
